Dataset Mode,Feature,Value,Count,Percent
gdsc_metadata_only,GDSC Tissue descriptor 2,haematopoietic_neoplasm other,1357,0.5606627140702791
gdsc_metadata_only,GDSC Tissue descriptor 2,chondrosarcoma,1197,0.4945565723965542
gdsc_metadata_only,GDSC Tissue descriptor 2,T_cell_leukemia,1115,0.46067717478877024
gdsc_metadata_only,GDSC Tissue descriptor 2,medulloblastoma,1072,0.44291114921395663
gdsc_metadata_only,GDSC Tissue descriptor 2,hairy_cell_leukaemia,1016,0.4197739996281529
gdsc_metadata_only,GDSC Tissue descriptor 2,biliary_tract,1008,0.4164686925444667
gdsc_metadata_only,GDSC Tissue descriptor 2,lung_NSCLC_carcinoid,991,0.40944491499163344
gdsc_metadata_only,GDSC Tissue descriptor 2,leukemia,923,0.38134980478030034
gdsc_metadata_only,GDSC Tissue descriptor 2,urogenital_system_other,718,0.29665131076084034
gdsc_metadata_only,GDSC Tissue descriptor 2,anaplastic_large_cell_lymphoma,692,0.2859090627388601
gdsc_metadata_only,GDSC Tissue descriptor 2,bone_other,591,0.24417956080732126
gdsc_metadata_only,GDSC Tissue descriptor 2,fibrosarcoma,559,0.23095833247257627
gdsc_metadata_only,GDSC Tissue descriptor 2,uterus,557,0.23013200570165473
gdsc_metadata_only,GDSC Tissue descriptor 2,skin_other,539,0.22269506476336065
gdsc_metadata_only,GDSC Tissue descriptor 2,testis,449,0.18551036007189045
gdsc_metadata_only,GDSC Tissue descriptor 2,adrenal_gland,279,0.11527258454355775
gdsc_metadata_only,GDSC Tissue descriptor 2,Lung_other,178,0.07354308261201892
gdsc_metadata_only,Cancer Type (matching TCGA label),Missing,51446,21.255603528415314
gdsc_metadata_only,Cancer Type (matching TCGA label),LUAD,15483,6.397008697089264
gdsc_metadata_only,Cancer Type (matching TCGA label),SCLC,13750,5.680996550085731
gdsc_metadata_only,Cancer Type (matching TCGA label),BRCA,13106,5.414919329848989
gdsc_metadata_only,Cancer Type (matching TCGA label),COAD/READ,12438,5.138926188361188
gdsc_metadata_only,Cancer Type (matching TCGA label),SKCM,12097,4.998037473919061
gdsc_metadata_only,Cancer Type (matching TCGA label),HNSC,9178,3.7920135517590428
gdsc_metadata_only,Cancer Type (matching TCGA label),ESCA,9126,3.770529055715083
gdsc_metadata_only,Cancer Type (matching TCGA label),GBM,8384,3.4639618237031837
gdsc_metadata_only,Cancer Type (matching TCGA label),OV,8166,3.3738922056727336
gdsc_metadata_only,Cancer Type (matching TCGA label),DLBC,7978,3.2962174892061067
gdsc_metadata_only,Cancer Type (matching TCGA label),NB,7469,3.085917326006569
gdsc_metadata_only,Cancer Type (matching TCGA label),KIRC,7462,3.0830251823083437
gdsc_metadata_only,Cancer Type (matching TCGA label),PAAD,7083,2.926436259218708
gdsc_metadata_only,Cancer Type (matching TCGA label),ALL,6795,2.807445204206003
gdsc_metadata_only,Cancer Type (matching TCGA label),LAML,6029,2.4909620509430455
gdsc_metadata_only,Cancer Type (matching TCGA label),STAD,5069,2.094325200900696
gdsc_metadata_only,Cancer Type (matching TCGA label),MM,4598,1.8997252463486687
gdsc_metadata_only,Cancer Type (matching TCGA label),BLCA,4266,1.7625550023756895
gdsc_metadata_only,Cancer Type (matching TCGA label),LIHC,3909,1.6150556737661907
gdsc_metadata_only,Cancer Type (matching TCGA label),LUSC,3863,1.596050158034995
gdsc_metadata_only,Cancer Type (matching TCGA label),CESC,3811,1.5745656619910342
gdsc_metadata_only,Cancer Type (matching TCGA label),THCA,3759,1.5530811659470738
gdsc_metadata_only,Cancer Type (matching TCGA label),LGG,3438,1.4204557192141631
gdsc_metadata_only,Cancer Type (matching TCGA label),UNABLE TO CLASSIFY,3064,1.2659326130518314
gdsc_metadata_only,Cancer Type (matching TCGA label),LCML,2611,1.078769599438098
gdsc_metadata_only,Cancer Type (matching TCGA label),UCEC,2512,1.0378664242774804
gdsc_metadata_only,Cancer Type (matching TCGA label),PRAD,1676,0.692461834032268
gdsc_metadata_only,Cancer Type (matching TCGA label),MESO,1568,0.6478401884025038
gdsc_metadata_only,Cancer Type (matching TCGA label),MB,1072,0.44291114921395663
gdsc_metadata_only,Cancer Type (matching TCGA label),CLL,550,0.22723986200342927
gdsc_metadata_only,Cancer Type (matching TCGA label),ACC,279,0.11527258454355775
gdsc_metadata_only,Microsatellite instability Status (MSI),MSS/MSI-L,214104,88.45993348069494
gdsc_metadata_only,Microsatellite instability Status (MSI),MSI-H,15578,6.436259218708037
gdsc_metadata_only,Microsatellite instability Status (MSI),Missing,12353,5.103807300597022
gdsc_metadata_only,Screen Medium,R,129756,53.61042824384903
gdsc_metadata_only,Screen Medium,D/F12,102913,42.5198834879253
gdsc_metadata_only,Screen Medium,Missing,9366,3.8696882682256697
gdsc_metadata_only,Growth Properties,Adherent,168430,69.58910901315926
gdsc_metadata_only,Growth Properties,Suspension,56814,23.47346458156878
gdsc_metadata_only,Growth Properties,Missing,9366,3.8696882682256697
gdsc_metadata_only,Growth Properties,Semi-Adherent,7425,3.067738137046295
gdsc_metadata_only,CNA,Y,231651,95.70971140537526
gdsc_metadata_only,CNA,Missing,9366,3.8696882682256697
gdsc_metadata_only,CNA,N,1018,0.42060032639907446
gdsc_metadata_only,Gene Expression,Y,227885,94.15373809572995
gdsc_metadata_only,Gene Expression,Missing,9366,3.8696882682256697
gdsc_metadata_only,Gene Expression,N,4784,1.9765736360443737
gdsc_metadata_only,Methylation,Y,225081,92.99522796289793
gdsc_metadata_only,Methylation,Missing,9366,3.8696882682256697
gdsc_metadata_only,Methylation,N,7588,3.1350837688764024
gdsc_metadata_only,TARGET,Missing,27155,11.219451732187494
gdsc_metadata_only,TARGET,"PARP1, PARP2",4714,1.9476521990621194
gdsc_metadata_only,TARGET,"MEK1, MEK2",4547,1.878653913690169
gdsc_metadata_only,TARGET,TOP1,4324,1.7865184787324146
gdsc_metadata_only,TARGET,EGFR,3836,1.5848947466275538
gdsc_metadata_only,TARGET,"TNKS1, TNKS2",3699,1.528291362819427
gdsc_metadata_only,TARGET,"AKT1, AKT2, AKT3",3308,1.3667444791042618
gdsc_metadata_only,TARGET,DOT1L,2873,1.1870184064288223
gdsc_metadata_only,TARGET,"IGF1R, IR",2872,1.1866052430433613
gdsc_metadata_only,TARGET,BRAF,2859,1.1812341190323714
gdsc_metadata_only,TARGET,ATR,2803,1.1580969694465675
gdsc_metadata_only,TARGET,PORCN,2751,1.136612473402607
gdsc_metadata_only,TARGET,"ERK1, ERK2",2662,1.0998409320965976
gdsc_metadata_only,TARGET,DNA alkylating agent,2649,1.0944698080856075
gdsc_metadata_only,TARGET,Microtubule stabiliser,2595,1.0721589852707254
gdsc_metadata_only,TARGET,BRD4,2556,1.056045613237755
gdsc_metadata_only,TARGET,HSP90,2363,0.9763050798438243
gdsc_metadata_only,TARGET,Antimetabolite,2341,0.967215485363687
gdsc_metadata_only,TARGET,MCL1,2199,0.9085462846282563
gdsc_metadata_only,TARGET,Mutant RAS,2193,0.9060673043154915
gdsc_metadata_only,TARGET,"EGFR, ERBB2",1932,0.7982316607102278
gdsc_metadata_only,TARGET,"CDK4, CDK6",1927,0.796165843782924
gdsc_metadata_only,TARGET,"FGFR1, FGFR2, FGFR3",1926,0.7957526803974632
gdsc_metadata_only,TARGET,IGF1R,1924,0.7949263536265415
gdsc_metadata_only,TARGET,PI3K (beta sparing),1916,0.7916210465428554
gdsc_metadata_only,TARGET,MDM2,1916,0.7916210465428554
gdsc_metadata_only,TARGET,PI3Kalpha,1909,0.7887289028446299
gdsc_metadata_only,TARGET,SYK,1788,0.7387361332038754
gdsc_metadata_only,TARGET,"BRD2, BRD3, BRD4",1786,0.7379098064329539
gdsc_metadata_only,TARGET,"MTORC1, MTORC2",1705,0.7044435722106307
gdsc_metadata_only,TARGET,Microtubule destabiliser,1697,0.7011382651269444
gdsc_metadata_only,TARGET,ESR,1680,0.6941144875741112
gdsc_metadata_only,TARGET,RNA polymerase,1659,0.6854380564794348
gdsc_metadata_only,TARGET,PPM1D,1655,0.6837854029375917
gdsc_metadata_only,TARGET,"BAZ2A, BAZ2B",1650,0.6817195860102878
gdsc_metadata_only,TARGET,EZH2,1634,0.6751089718429153
gdsc_metadata_only,TARGET,"JAK1, JAK2",1615,0.6672588675191604
gdsc_metadata_only,TARGET,Metabolism,1470,0.6073501766273472
gdsc_metadata_only,TARGET,anti-oxidant proteins,1464,0.6048711963145826
gdsc_metadata_only,TARGET,dsDNA break induction,1448,0.5982605821472101
gdsc_metadata_only,TARGET,"ERK1,ERK2",1434,0.5924762947507591
